value,tweet
positif,'pandemi' 'dirumahaja' 'alam' 'baca' 'buku' 'ajar' 'masak' 'giat' 'keluarga' 'aktivitas' 'bayar' 'daring' 'aplikasi' 'pengalamanbaru'
positif,'pandemi' 'dirumasaja' 'alam' 'ajar' 'masak' 'baca' 'buku' 'giat' 'keluarga' 'ativitas' 'bayar' 'daring' 'aplikasi' 'pengalamanbaru' 'leng'
positif,'pandemi' 'dompet digital' 'transaksi' 'linkaja' 'salah' 'dompet digital' 'kesukan' 'bagus' 'kerja' 'promosi' 'guna' 'lengkapnyauntuksemua'
positif,'pandemi' 'giat' 'rumah' 'ajar' 'kuota' 'habis' 'aplikasi' 'mudah' 'cepat' 'isi' 'kuota' 'rumah' 'alam' 'berbisnis' 'daring' 'lengkapn'
positif,'pandemi' 'gilak' 'sih' 'dandan' 'baca' 'buku' 'jika' 'belanja' 'memakai' 'mudah' 'sekali' 'mantap' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'gin' 'alam' 'baca' 'buku' 'ajar' 'masak' 'masakan' 'indonesia' 'giat' 'lakuin' 'bantu' 'aplikasi' 'belanja' 'mudah' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'gin' 'cocok' 'ya' 'transaksi' 'non' 'tunai' 'sih' 'aman' 'jika' 'bayar' 'memakai' 'linkaja' 'hemat' 'sudah' 'lengkapnyaramadan' 'hemat' 'ribu'
positif,'pandemi' 'gin' 'jaga' 'jarak' 'gaboleh' 'kerumun' 'kerumun' 'mantan' 'ovo' 'benar' 'benar' 'membantu' 'waktu' 'kelaparan' 'sehat' 'memakai' 'prutect' 'care' 'bulan' 'parkir' 'saja' 'ovo' 'sudah'
positif,'pandemi' 'gin' 'jaga' 'sehat' 'semuatenangterlindungi' 'istirahat' 'yang' 'makan' 'makan' 'yang' 'gizi' 'hindar' 'stres' 'kurang' 'mobilitas' 'dengan' 'dirumahaja' 'minum' 'vitamin' 'rutin' 'patuh' 'protokol kesehatan' 'transaksi' 'non tunai'
positif,'pandemi' 'gin' 'mana' 'susah' 'tidak' 'tetep' 'keluar tapi' 'tau' 'fitur' 'dompet digital' 'salah' 'satu' 'beli' 'lengkap' 'sekolah' 'lain' 'langan' 'aplikasi' 'ajar' 'mudah' 'lengkapnyauntu'
positif,'pandemi' 'gin' 'mbuat' 'dirumahaja' 'ngasih' 'alam' 'tidak' 'dilupakan' 'suka' 'masak' 'karena' 'pandemi' 'mudah' 'jika' 'beli' 'saja' 'top' 'up' 'memakai' 'pengalamanbaru' 'lengkapnyauntuksem'
positif,'pandemi' 'gin' 'nga' 'sekolah' 'nga' 'kasih' 'uang' 'jajan' 'kasih' 'uang' 'mencuci' 'baju' 'keluarga' 'menangis' 'pokok' 'makasih' 'gopay' 'sudah' 'adain' 'event' 'bantu' ' 'moto' 'semangat' 'main' 'suwit' 'dapat' 'jarang' 'dapat' 'dikit' 'm'
positif,'pandemi' 'gin' 'produktif' 'ajar' 'foto' 'olahraga' 'pagi' 'pasti' 'mengerjakan' 'tugas' 'kampus' 'bantu' 'paket' 'internet' 'murah' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'gin' 'sehat' 'nomor' 'jaga' 'pandemi' 'transaksi' 'pakai' 'ovo' 'isi' 'pulsa' 'token' 'pesan' 'makan' 'semuatenangterlindungi'
positif,'pandemi' 'habis' 'baca' 'buku' 'novel' 'siap' 'masuk' 'ptn' 'mingu' 'beli' 'buku' 'daring' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'habis' 'dirumahaja' 'isi' 'luang' 'dengan' 'baca' 'buku' 'ajar' 'masak' 'juga' 'olahraga' 'pagi' 'dengan' 'memakai' 'sangat' 'bantu' 'keluarga' 'mudah' 'bayar' 'lalu'
positif,'pandemi' 'halang' 'tunjangan hari raya' 'kawan' 'sedia' 'ovo' 'dana' 'shopepay' 'gopay' 'tingal' 'memilih' 'selesai'
positif,'pandemi' 'intensitas' 'rumah' 'ajar' 'tulis' 'baca' 'buku' 'manfat' 'manfat' 'transaksi' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'jaga' 'imunitas' 'tubuh' 'olahraga' 'pagi' 'jemur' 'perlu' 'bayar' 'andal' 'karena' 'lengkap' 'fiturnya' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'jalan' 'jalan' 'uang' 'jajan' 'ditabung' 'investasi' 'investasi' 'sekali' 'ya' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'jarang' 'sekali' 'bayar' 'memakai' 'tunai' 'kurang' 'mata' 'rantai' 'covid' 'terima' 'pembelian' 'dateng' 'tidak' 'lupa' 'langsung' 'cuci' 'tangan' 'pandemi' 'ngebuat' 'rajin' 'pembelian' 'grabfod' 'mudah' 'bayar' 'pakai' 'ovo' 'te'
positif,'pandemi' 'kaya' 'gin' 'memang' 'enak' 'sekali' 'tuh' 'bayar' 'apa' 'rumah' 'saja' 'saya' 'kasih' 'tau' 'ya' 'teman' 'rumah' 'saja' 'pakai' 'hemat' 'teman' 'lengkapnyauntuksemua'
positif,'pandemi' 'kurang kurangin' 'transaksi' 'memakai' 'uang' 'tunai' 'lebih baik' 'bayar' 'memakai' 'lengkapnyauntuksemua'
positif,'pandemi' 'landa' 'indonesia' 'harus' 'dirumahaja' 'rumah' 'henti' 'beraktifitas' 'positif' 'jika' 'hubung' 'bayar' 'ya' 'lengk'
positif,'pandemi' 'link' 'saja' 'lbih' 'untung' 'lelah' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'luangsaya' 'putus' 'bisnis' 'hewan' 'peliharanmeskipun' 'susah' 'alhamdulilah' 'omset' 'penjualandan' 'bayar' 'listrik' 'kandang' 'enak' 'saja' 'memakai' 'nya' 'tidak' 'ribet' 'alam'
positif,'pandemi' 'makan' 'makan' 'sehat' 'bantu' 'sekali' 'sehat' 'tubuh' 'terima' 'kasih' 'link' 'saja' 'aplikasi' 'bantu' 'pengalamanbaru' 'lengkapuntuksemua'
positif,'pandemi' 'malas' 'mana' 'malas' 'memakai' 'uang' 'tunai' 'untung' 'saja' 'promosi' 'guna' 'lengkapnyauntuksemua'
positif,'pandemi' 'malas' 'sekali' 'transaksi' 'uang' 'tunai' 'andal' 'dompet digital' 'aktivitas' 'krl' 'bayar' 'ojek' 'daring' 'jajan' 'toko swalayan' 'beli' 'pulsa' 'kuota' 'dompet digital' 'tidak' 'b'
positif,'pandemi' 'memakai' 'link' 'saja' 'cocok' 'rumah' 'rumah' 'ya' 'promosi' 'guna' 'lengkapnyauntuksemua'
positif,'pandemi' 'memakai' 'linkaja' 'manfat' 'praktis' 'belanja' 'mana' 'ngak' 'sibuk' 'tidak' 'bawa' 'uang' 'tunai' 'kemana mama' 'bawa' 'telepon gengam' 'suka' 'linkaja' 'lengkapnyabikinmerdeka'
positif,'pandemi' 'merubah' 'pola' 'hidup' 'diringi' 'makan' 'makan' 'sehat' 'olahraga' 'jalan' 'protokol' 'sehat' 'salah' 'satu' 'meminimalisir' 'guna' 'uang' 'tunai' 'e money' 'lengkapn'
positif,'pandemi' 'monami' 'jika' 'jam' 'malem' 'diskon' 'ditambah' 'diskon' 'jika' 'memakai' 'shopepay' 'saya' 'bahagia'
positif,'pandemi' 'mudah' 'transaksi' 'beli' 'makan' 'makan' 'sehat' 'bayar' 'sepeda' 'olahraga' 'pagi' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'mudah' 'transaksi' 'rumah' 'tidak' 'rumah' 'pengalamanbaru' 'lengkapnyauntuksemua' 'linkaja'
positif,'pandemi' 'muncul' 'gagas' 'ide' 'usaha' 'maju' 'usaha' 'yang' 'rintis' 'untung' 'mudah' 'transfer' 'cepat' 'urus' 'pengalamanbaru' 'lengkapnyauntuksemua' 'linkaja'
positif,'pandemi' 'per' 'link' 'saja' 'bantu' 'masyarakatmenginspirasi' 'jaga' 'protokol' 'sehat' 'lengkapnyauntuksemua'
positif,'pandemi' 'psb' 'seperti' 'gin' 'takut' 'sekali' 'nyentuh' 'benda' 'apa' 'ketika' 'rumah' 'untung' 'yang' 'lengkapnyauntuksemua' 'krl' 'pakai' 'qr' 'code' 'saja'
positif,'pandemi' 'rumah' 'suka' 'baca' 'buku' 'untung' 'bayar' 'daring' 'tidak' 'rumah' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'rumah' 'ajar' 'ajar' 'memasakmembacaberolahraga' 'rumah' 'habis' 'luang' 'keluarga' 'aktivitas' 'bayar' 'daring' 'aplikasi' 'lengkapnyauntuks'
positif,'pandemi' 'saja' 'batu' 'bayar' 'on' 'line' 'yang' 'dagang' 'daring' 'membntu' 'jual' 'makan' 'daring' 'pengalamanbaru' 'lengkapnyauntuksemua' 'linkaja'
positif,'pandemi' 'saya' 'bosan' 'rumah' 'baca' 'bukubelajar' 'fotobelajar' 'masakbahkan' 'gemar' 'olahraga' 'sepeda untuk' 'urus' 'bayar' 'sibuk' 'akses' 'mana' 'saja' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'saya' 'dirumahaja' 'daring' 'pengalamanbaru' 'transaksi' 'daring' 'mudah' 'aplikasi' 'fitur' 'lengkapnyauntuksemua' '
positif,'pandemi' 'sedang' 'saja' 'mengenalkan' 'suami' 'main' 'permainan' 'sudah' 'ikut' 'jajan' 'melalui' 'shope' 'tingal' 'mengenalkan' 'shopepay'
positif,'pandemi' 'sekali' 'ajar' 'masak' 'seru' 'sekali' 'deh' 'tidak' 'takut' 'kuota' 'abis' 'sibuk' 'sibuk' 'toko' 'beli' 'kuota' 'bayar' 'memakai' 'linkaja' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'sekali' 'diskon' 'memakai' 'tumbler' 'shope' 'pay' 'roti' 'jarang' 'beli' 'gratis'
positif,'pandemi' 'suka' 'ajar' 'masak' 'rumah' 'terimakasih' 'link' 'saja' 'postingan' 'manfat' 'bayar' 'apa' 'mudah' 'praktis' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'suka' 'belanja' 'daring' 'shope' 'karena' 'gratis' 'ongkir' 'dan' 'mudah' 'bayarnya' 'pakai' 'shopepay' 'dapat' 'potong' 'lagi' 'enak' 'deh' 'pokok' 'belanja' 'shope' 'puas' 'sangat'
positif,'pandemi' 'suka' 'sekali' 'olahraga' 'olahraga' 'pagi' 'nambah' 'hehehaku' 'suka' 'sekali' 'ajar' 'masak' 'kue' 'beli' 'bahan' 'bahan' 'toko online' 'bayar' 'memakai' 'linkaja' 'pokok' 'praktis' 'deh' 'pengalamanbaru' 'lengkapnyau'
positif,'pandemi' 'sy' 'menjadi' 'lbh' 'diantar ke rumah' 'pembelian' 'inspirasi' 'ibu' 'cocok' 'diantar ke rumah' 'makan' 'terima' 'kasih' 'lengkapnyauntuksemua'
positif,'pandemi' 'terima' 'tunjangan hari raya' 'melalui' 'saldo' 'ovo' 'gopay' 'dana' 'tidak' 'transfer' 'kok' '
positif,'pandemi' 'tidak' 'aktivitas' 'dilakuin' 'rumah' 'bayar' 'mudah' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'transaksi' 'rumah' 'terima' 'kasih' 'lengkapnyauntuksemua'
positif,'pandemi' 'tuntut' 'ubah' 'dirumahaja' 'tuntut' 'kreatif' 'jaga' 'sehat' 'olah' 'raga' 'transaksi' 'kurang' 'resiko' 'tular' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'penelitian' 'snapcart' 'markplus' 'shopepay' 'pandemi' 'corona' 'dibandingkan dengan'
positif,'pengalamanbaru' 'pandemi' 'mengunakan' 'mudah' 'episien' 'rumah' 'cari' 'kali' 'menekan tombol' 'jajah' 'cari' 'dirumahaja'
positif,'pengalamanya' 'pandemi' 'mendownload' 'aplikasi' 'linkajamembuat' 'susah' 'mudah' 'contoh' 'transfer' 'uang' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pertiwi' 'lomba' 'moga' 'indonesia' ' 'pulih' 'dri' 'pandemi' 'corona' 'linkaja' 'senantiasa' 'dompet' 'digital' 'handal' 'ganti' 'uang' 'tunai'
positif,'praktis' 'mana' 'aman' 'pegang' 'uang' 'jika' 'kondisi' 'covid' 'gin' 'lengkapnyabikinmerdeka'
negatif,'promosi' 'mudah' 'tingal' 'rumah' 'ngajak' 'jalan' 'pandemi' 'jika' 'sudah' 'tidak' 'pandemi' 'mengajak' 'macetin' 'jalan' 'saran' 'ya' 'admin' 'baik' 'ide' 'promosi' '
positif,'rangin' 'guna' 'uang' 'tunai' 'pandemi' 'gin' 'pilih' 'bayar' 'ojol' 'lengkapnyauntuksemua'
positif,'rencana' 'lebaran' 'pandemi' 'baik' 'adopsi' 'konsep' 'visa' 'tanpa kontak' 'tidak menyentuk' 'raya' 'dengan' 'sederhana' 'rumah' 'untuk' 'baik' 'uang' 'ponakan' 'top' 'up' 'dompet digital' 'jenius' 'hidup' 'mudah' 'jenius' 'buk'
positif,'rumah' 'berkat' 'linkaja' 'transaksi' 'mudah' 'nyaman' 'buka' 'usaha' 'jual' 'pulsa' 'linkaja' 'terima' 'kasih' 'pandemi' 'dapet' 'untung'
positif,'saja' 'yakan' 'atap' 'mobil' 'memberi' 'bingkis' 'cegah' 'covid' 'memakai' 'kurir' 'transfer' 'melalui' 'jika' 'kasi''
positif,'salah' 'dompet digital' 'pilih' 'beli' 'pandemi' 'penelitian' 'tambah' 'metode' 'bayar' 'shopepay' 'toko' 'daring' 'aktivasi' 'cepat' 'mudah' 'midtrans'
negatif,'salah' 'dua' 'admin' 'bukti' 'bayar' 'tagih' 'aktif' 'memakai' 'shopepay' 'paylater' 'tapi' 'akun' 'sudah' 'masuk' 'tahun' 'limit' 'mbuat' 'menjadi' 'tidak' 'dibalikin' 'sampai' 'sekarang' 'alas' 'gara' 'pandemi' ' '
positif,'saldo' 'gopay' 'tidak' 'saya' 'jajan' 'jajan' 'lunayan' 'ketika' 'pandemi' 'kemaren' 'promosi' ' ' 'sampai' 'tetep' 'memakai' 'gopay' '
positif,'saya' 'suka' 'simpan' 'uang' 'memakai' 'dompet' 'digital' 'dompet digital' 'jika' 'mutualanku' 'gimana' 'saya' 'sih' 'pakelinkaja' 'hobi' 'belanja' 'onlineku' 'tingkat' 'era' 'pandemi' 'gin' 'memakai' 'tidak' 'ini' 'lengkapnyauntuksemua'
positif,'sekali' 'aktifitas' 'dirumahaja' 'pandemi' 'sepeda' 'aktifitas' 'pandemi' 'terima' 'kasih' 'sudah' 'mudah' 'transaksi' 'telepon gengam' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'sekejap' 'ultah' 'sidang' 'wisuda' 'daring' 'kak' 'sedih' 'pandemi' 'tidak' 'teman' 'yang' 'merayakan' 'bareng' 'ken' 'gunain' 'shope' 'pay' 'merayakan' 'belanjain' 'keluarga' 'hadiah' 'belanja' 'shope'
positif,'semangat' 'indonesia' 'hadap' 'pandemi' 'terimakasih' 'mudah' 'bayar' 'masa' 'pandemi' 'lengkapnyauntuksemua'
positif,'semenjak' 'pandemi' 'cermat' 'belanja' 'untung' 'promosi' 'voucher' 'shopepay' 'rp' 'ini' 'bayar' 'butuh' 'belanja' 'tingal' 'scan' 'tunai' 'butuh' 'dapur' 'aman' 'hemat' 'shopesms' 'fotomantulsale'
positif,'semenjak' 'pandemi' 'jarang' 'belanja' 'butuh' 'makan' 'diantar ke rumah' 'makan' 'aplikasi' 'link' 'saja' 'simpel' 'mudah' 'ibu' 'cocok' 'diantar ke rumah' 'makan' 'lengkap'
positif,'semenjak' 'pandemi' 'saya' 'malas' 'rumah' 'untung' 'saja' 'bantu' 'penuh' 'butuh' 'rumah' 'lengkapnyaramadan' 'hemat' 'ribu'
positif,'semenjak' 'pandemi' 'suka' 'baca' 'buku' 'ajar' 'fotografi' 'ajar' 'masak' 'mama' 'aktivitas' 'daring' 'pakai' 'aplikasi' 'pengalamanbaru' 'lengkapnyauntuksemua' 'linkaja'
positif,'semuatenangterlindungi' 'bulan' 'ramadhan' 'musim' 'pandemi' 'peran' 'ovo' 'karena' 'hindar' 'kontak' 'langsung' 'sentuh' 'inti' 'ovo' 'bantu'
positif,'semuatenangterlindungi' 'ketika' 'pandemi' 'seperti' 'gin' 'patuh' 'protokol' 'sehat' 'sih' 'tidak' 'rumah' 'beli' 'makan' 'puasa' 'malas' 'masak' 'ya' 'bayar' 'memakai' 'ovo' 'sen' 'makan' 'adal'
positif,'senang' 'inovasi' 'mudah' 'customer' 'masa' 'pandemi' 'pakelinkaja'
positif,'senang' 'sekali' 'link' 'saja' 'praktis' 'pandemi' 'seperti' 'gin' 'pakelinkaja'
negatif,'shopepay' 'later' 'saya' 'rupiah' 'ya' 'semenjak' 'covid' 'tertawa'
positif,'shopepay' 'sama sekali' 'gopay' 'sih' 'sama sekali' 'm banking' 'sebagai' 'pusat' 'tertawa' 'tidak pernah' 'narik' 'tunai' 'covid' 'sampai' 'lupa' 'memegang' 'uang' 'kertas' 'gimana' 'mengeluh' '
positif,'shopepay' 'si' 'kak' 'karena' 'pandemi' 'gin' 'butuh' 'sana' 'mudah' 'saja' 'rumah'
positif,'smenjak' 'pandemi' 'saya' 'sudah' 'malas' 'transaksi' 'memakai' 'tunai' 'jaga' 'saja' 'virus' 'yang' 'nempel' 'uang' 'tunai' 'jadi' 'saya' 'lebih memilih' 'berbelanja' 'atau' 'take' 'away' 'toko swalayan' 'atau' 'kafe' 'yang' 'menerima' 'pembayaran' 'mengunakan' 'linkaja' 'simpel' 'tidak' 'bawa' 'tunai' 'lalu' 'suka' 'promosi' 'lagi' 'lengkapnyauntuksemua'
positif,'sudah' 'benar' 'jajan' 'hemat' 'pandemi' 'beli' 'burger' 'ayam' 'bayar' 'memakai' 'item' 'saja' 'k' 'termasuk' 'pajak' 'dapat' 'diskon' 'k' 'hapines' '
negatif,'sudah' 'dibalesin' 'pagi' 'csnya' 'god' 'job' 'terimakasih' 'you' 'untuk' 'the' 'informasi' 'otp' 'tidak' 'dipake' 'selain' 'posisi' 'indonesia' 'sih' 'masuk' 'akal' 'ya' 'tetep' 'pikir' 'saldo' 'gopay' 'tahan' 'tidak' 'diapa apain' 'pulang' 'indo' 'tidak' 'covid' 'gin'
positif,'suka' 'sekali' 'aplikasi' 'mudah' 'era' 'digital' 'pandemi' 'serba' 'mudah' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'suka' 'sekali' 'fitur' 'dompet digital' 'pusat' 'benar' 'mudah' 'untuk' 'mengisi saldo' 'dompet digital' 'guna' 'setia' 'ojol' 'mana' 'masa' 'pandemi' 'pilih' 'bayar' 'mengunakan' 'nontunai' 'dengan' 'fitur' 'dompet digital' 'pusat' 'mudah' 'mengisi saldo' 'dim'
positif,'suka' 'sekali' 'linkaja' 'manfat' 'belanja' 'praktis' 'tidak' 'ribet' 'rumah' 'pandemi' 'kaya' 'gin' 'terimakasih' 'linkaja' 'isi' 'merdeka' 'lengkapnyabikinkemerdekan'
positif,'sukses' 'linkaja' 'aplikasi' 'bantu' 'atas' 'bayar' 'kondisi' 'pandemi' 'lengkapnyabikinmerdeka' ' '
positif,'sukses' 'linkaja' 'mudah' 'transaksi' 'bayar' 'iur' 'asuransi' 'pandemi' 'lengkapnyauntuksemua'
positif,'sumon' 'memakai' 'bank' 'bumn' 'top' 'upnya' 'gratis' 'sesuai' 'butuh' 'top' 'up' 'bayar' 'bayar' 'bayar' 'sudah' 'tahun' 'ngak' 'roker' 'sih' 'pandemi' 'sih'
positif,'tau' 'tidak' 'dompet digital' 'memakai' 'pakelinkaja' 'transaksi' 'laku' 'transaksi' 'apa' 'memakai' 'ini' 'memang' 'linkaja' 'lengkapnyauntuksemua' 'mudah' 'masa' 'pandemi' 'harus' 'jaga' 'jarak'
positif,'teman' 'kos' 'pinjem' 'k' 'karena' 'keburu' 'pandemi' 'menjadi' 'mengembalikanya' 'transfer' 'tapi' 'beda' 'bank' 'dintruksikan' 'top' 'up' 'shopepay' 'saja' 'alfamart' 'agar' 'tidak ada' 'biaya' 'admin' 'tertawa'
positif,'terima' 'kasih' 'bantu' 'sat' 'pandemi' 'rumah' 'saja' 'tetep' 'belanja' 'transaksi' 'ngak' 'ribet' 'tambah' 'cashbacknya' 'cinta' 'deh' 'pokok' 'lengkapnyauntuksemua'
positif,'terima' 'kasih' 'bayar' 'pertamina' 'non tunai' 'tanpa kontak' 'bantu' 'kondisi' 'pandemi' 'lengkapnyauntuksemua'
positif,'terima' 'kasih' 'hadir' 'masa' 'pandemi' 'mudah' 'sentuh' 'jari' 'lengkapnyauntuksemua'
positif,'terima' 'kasih' 'mudah' 'transaksi' 'non' 'tunai' 'pandemi' 'lengkapnyauntuksemua'
positif,'terima' 'kasih' 'sangat' 'bantu' 'proses' 'bayar' 'pandemi' 'dengan' 'metode' 'non tunainya' 'jaga' 'hindar' 'tular' 'covid' 'uang' 'lengkapnyauntuksemua'
positif,'terima' 'kasih' 'sunguh' 'mudah' 'giat' 'transaksi' 'pandemi' 'lengkapnyauntuksemua'
positif,'terimakasih' 'bantu' 'mudah' 'transaksi' 'non' 'tunai' 'musim' 'pandemi' 'linkaja' 'lengkapnyauntuksemua'
positif,'terimakasih' 'bantu' 'mudah' 'transaksi' 'non' 'tunai' 'musim' 'pandemi' 'nyaman' 'transaksi' 'non' 'tunai' 'linkaja' 'lengkapnyauntuksemua'
positif,'terimakasih' 'beli' 'pulsa' 'bayar' 'listrik' 'mudah' 'mudah' 'pembayran' 'beli' 'banyak' 'promosi' 'diskon' 'nya' 'loh' 'cocok' 'rumah transaksi' 'rumah' 'pandemi' 'ya' 'linka'
positif,'terimakasih' 'beli' 'pulsa' 'bayar' 'listrik' 'mudah' 'mudah' 'pembayran' 'beli' 'banyak' 'promosi' 'diskon' 'nya' 'loh' 'cocok' 'rumah transaksi' 'rumah' 'pandemi' 'ya' 'linkaja'
positif,'terimakasih' 'mudah' 'bayar' 'transaksi' 'daring' 'masa' 'pandemi' 'pandemi' 'yuk' 'semangat' 'indonesia' 'lengkapnyauntuksemua'
positif,'terimakasih' 'mudah' 'proses' 'transaksi' 'pandemi' 'lengkapnyauntuksemua'
positif,'terimakasih' 'mudah' 'transaksi' 'non' 'tunai' 'musim' 'pandemi' 'bantu' 'transaksi' 'lengkapuntuksemua'
positif,'tidak' 'bales' 'terima' 'dana' 'saldo' 'shopepay' 'ovo' 'jenis' 'nomor' 'cegah' 'tular' 'covid' 
positif,'tidak' 'kasus' 'sy' 'bs' 'bayar' 'tunai' 'mas' 'terkadang' 'gopay' 'makan' 'mesti' 'titip' 'kyk' 'ketika' 'sy' 'covid' 'kalau' 'bayar' 'tunai' 'kasi' 'ojek' 'mesti' 'kontak' 'sama sekali' 'membersihkan' 'uang' 'untuk' 'praktis' 'hidup' 'sy' 'pil'
positif,'tidak' 'nyangka' 'ya' 'aplikasi' 'misalnya' 'makan' 'makan' 'sehat' 'era' 'pandemi' 'bayar' 'gofod' 'memakai' 'mudah' 'takut' 'papar' 'virus' 'pengalamanbaru' 'y'
positif,'tips' 'gaya' 'hidup' 'non tunai' 'masyarakat' 'pintarbersama' 'situasi' 'pandemi' 'hitung' 'keluar' 'rutin' 'bulan' 'pisah' 'keluar' 'rutin' 'melalui' 'daring' 'siap' 'dompet digital' 'aplikasi' 'pem'
positif,'tips' 'hemat' 'pandemi' 'lebih baik' 'belanja' 'dishope' 'saja' 'deh' 'super' 'hemat' 'diskon' 'gratis' 'ongkir' 'pasti' 'tidak' 'rumah' 'metode' 'cod' 'shopepayrp' 'semuarp'
positif,'traktir' 'teman' 'murah' 'berkat' 'promosi' 'rp' 'bantu' 'sekali' 'pandemi' 'hemat' 'keluar' 'semuarp' 'shopepayrp'
positif,'transaksi' 'gopay' 'lonjak' 'pandemi' 'covid'
positif,'tuju' 'sekali' 'byar' 'listrik' 'air' 'ngak' 'sibuk' 'pkai' 'linkaja' 'beres' 'pandemi' 'bayar' 'rumah'
negatif,'tutup' 'akun' 'saja' 'harus' 'memakai' 'surat' 'surat' 'tau' 'pandemi' 'ampun'
positif,'uang' 'kak' 'pandemi' 'ini' 'lebih baik' 'pakai' 'ovo' 'transfer' 'shopepay' 'menangis'
positif,'untung' 'gopay' 'silaturahmi' 'jalin' 'pandemi'
positif,'untung' 'sekali' 'sudah' 'sudah' 'linkaja' 'pandemi' 'dirumahaja' 'bayar' 'listrik' 'pdam' 'pulsa' 'telepon gengam' 'tv' 'kabel' 'sampai' 'pasar' 'online' 'kamar' 'toilet' 'memakai' 'linkaja' 'telepon gengam' ' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'urus' 'praktis' 'enga' 'sibuk' 'urus' 'bayar' 'tagih' 'sat' 'pandemi' 'lengkapnyabikinmerdeka'
negatif,'valid' 'pandemi' 'cicil' 'shope' 'pay' 'later' 'me' 'telat' 'telponin' 'bunga' 'pusing' 'sekali' 'tertawa'
positif,'verifikasi' 'akun' 'tolak' 'ktp' 'rusak' 'gores' 'akibat' 'cuci' 'mesin' 'cuci' 'benar' 'ktp' 'ya' 'takut' 'pandemi' 'gin' 'ovo' 'premier' 'gopay' 'ditambah' 'lolos' 'jodoh' 'jodoh' 'dengan' 'toko online'
positif,'wah' 'praktis' 'linkaja' 'cocok' 'rumah' 'pandemi' 'inspirasi' 'dirumahaja' 'terima' 'kasih' 'lengkapnyauntuksemua'
positif,'ya' 'pandemi' 'benar' 'benar' 'membantu' 'gua' 'sekali' 'sih' 'bayar' 'apa' 'mudah' 'keamanan' 'terimakasih' 'lengkapnyauntuksemua' 'pengalamanbaru'
negatif,'ya' 'shope' 'pay' 'shopepay later' 'pandemi' 'akun' 'teman' 'pay' 'shopepay later' 'nya' 'limit' 'nya' 'akun'
